task_id,task,success_criteria,reference_answer,type,expected_tools,answerable,break_tool
mh1,"כמה מס רכישה אשלם על דירה שנייה (לא דירה יחידה) בשווי 4,000,000 ₪?","answer contains ""320,000"" or ""320000"" (±1)","מס רכישה על דירה נוספת הוא 8% מהשקל הראשון עד 6,055,070 ₪ (הוראת שעה, סעיף 9(ג1ו)). 8% * 4,000,000 = 320,000 ₪.",multi_hop,"search_tax_corpus,calculator",True,
mh2,"מהו שיעור המע""מ הנוכחי בישראל, וכמה אשלם בסה""כ (כולל מע""מ) על שירות שעלותו 4,390 ₪ לפני מע""מ?","answer contains ""5,180.2"" or ""5180.2"" (±0.01)","שיעור המע""מ הוא 18%. 4,390 * 1.18 = 5,180.20 ₪ (מתוכם 790.20 ₪ מע""מ).",multi_hop,"search_tax_corpus,calculator",True,
mh3,"מהו מס רווח ההון על רווח הון ריאלי של 200,000 ₪ ממכירת מניות, עבור מי שאינו בעל מניות מהותי?","answer contains ""50,000"" or ""50000"" (±1)","שיעור מס רווח הון הכללי הוא 25% (סעיף 91 לפקודה). 25% * 200,000 = 50,000 ₪.",multi_hop,"search_tax_corpus,calculator",True,
mh4,"כמה מס רכישה אשלם על משרד (נכס שאינו למגורים) בשווי 1,500,000 ₪?","answer contains ""90,000"" or ""90000"" (±1)","מס רכישה על נכס שאינו למגורים הוא 6% אחיד ללא מדרגות (תקנה 2(1) לתקנות מס רכישה). 6% * 1,500,000 = 90,000 ₪.",multi_hop,"search_tax_corpus,calculator",True,
mh5,"פרויקט תכנוני העלה את שווי המקרקעין שלי ב-300,000 ₪. כמה היטל השבחה אצטרך לשלם?","answer contains ""150,000"" or ""150000"" (±1)","שיעור היטל ההשבחה הוא 50% מסכום ההשבחה. 50% * 300,000 = 150,000 ₪.",multi_hop,"search_tax_corpus,calculator",True,
mh6,"לשכיר עם משכורת 20,000 ₪ לחודש (גבר, ללא נקודות זיכוי נוספות) ולעצמאי עם אותה הכנסה חודשית — למי דמי הביטוח הלאומי ומס הבריאות גבוהים יותר בחודש, ובכמה?","answer contains ""981"" (±2) and indicates the self-employed pays more","שכיר: ביטוח לאומי 940.90 + מס בריאות 884.56 = 1825.46 ₪. עצמאי: 7.7% על 7,703 הראשונים (593.13 ₪) ו-18% על ה-12,297 הנותרים (2,213.46 ₪) = 2,806.59 ₪. העצמאי משלם 981.13 ₪ יותר בחודש.",multi_hop,"search_tax_corpus,calculator,calculate_tax_refund",True,
nt1,מה אתה יכול לעזור לי איתו?,tool_calls == 0,"תיאור כללי של יכולות המערכת (שאלות מס, חישובי מס, לא צריך לקרוא לשום tool).",no_tool,,True,
nt2,"במילים כלליות, בלי לחפש שום דבר: מה זה בכלל 'נקודת זיכוי' במס הכנסה?",tool_calls == 0,"הסבר כללי ממקור-הידע הפנימי של המודל, ללא קריאה לקורפוס או למחשבון.",no_tool,,True,
nt3,שלום! מה שלומך היום?,tool_calls == 0,"ברכה כללית, ללא תוכן מס, לא צריכה שום tool.",no_tool,,True,
ua1,מהו שיעור מס החברות בישראל בשנת 2026?,refused == True,"לא מצאתי את זה בקורפוס. הקורפוס עוסק במיסוי יחידים; ""מס חברות"" מוזכר רק בהקשר סיווג הכנסה מכרייה קריפטוגרפית, בלי שהשיעור עצמו ניתן במפורש.",unanswerable,search_tax_corpus,False,
ua2,"כיצד מחושבת הארנונה על דירת מגורים, ומהם התעריפים?",refused == True,"לא מצאתי את זה בקורפוס. ארנונה היא מס עירוני שאינו מופיע בשום מקום בקורפוס, גם לא במדריך המקרקעין.",unanswerable,search_tax_corpus,False,
ua3,מה מזג האוויר הצפוי מחר בתל אביב?,refused == True and tool_calls <= 2,"שאלה שאינה קשורה למיסוי כלל ואינה נגזרת משום tool זמין. סירוב מהיר, בלי חיפוש ממושך.",unanswerable,,False,
tf1,"מהי מדרגת המס הראשונה על הכנסת שכיר, ובאיזה שיעור?","refused == True (reports search_tax_corpus failure, does not fabricate a rate)",עם search_tax_corpus שבור: המערכת אמורה לדווח שאינה יכולה להשלים את המשימה -- לא להמציא מדרגה.,tool_fails,search_tax_corpus,True,search_tax_corpus
tf2,"כמה זה 15% מ-50,000 ₪?","refused == True (reports calculator failure, does not fabricate a number)","עם calculator שבור: המערכת אמורה לדווח שאינה יכולה להשלים את המשימה -- לא להמציא תוצאה (7,500 ₪).",tool_fails,calculator,True,calculator
s1,"כמה נטו יקבל שכיר עם משכורת 15,000 ₪ (גבר, ללא נקודות זיכוי נוספות)?","answer contains ""12211.54"" (±0.5)","נטו 12211.54 ₪ (מס אחרי זיכוי 1571.50, ביטוח לאומי 590.90, מס בריאות 626.06).",single,calculate_tax_refund,True,
s2,מהי תקרת הפטור ממס שבח לדירת מגורים יחידה?,"answer contains ""5,008,000"" or ""5008000"" (±1)","5,008,000 ₪ לתקופה 1.1.2025–31.12.2027 (סעיף 49א(א1) לחוק, הוראת ביצוע 1/2026).",single,search_tax_corpus,True,
