question,reference_answer,evidence_doc,evidence_page,answerable,difficulty,category
מה ההבדל המרכזי בתשלום המס בין קרן נאמנות פטורה לבין השקעה ישירה בניירות ערך?,"בקרן פטורה נדחה תשלום המס עד למועד מימוש ההשקעה בפועל (פדיון), בשונה מהשקעה ישירה בניירות ערך שבה חבות המס מתגבשת בכל אירוע מכירה.",capital-markets-tax-guide,6. מיסוי קרנות נאמנות,True,easy,synthetic
מהו שיעור המס על רווח הון ריאלי מניירות ערך במקרה הרגיל?,25%,capital-markets-tax-guide,1. מס רווחי הון על ניירות ערך,True,easy,synthetic
"אני מוכר קריפטו אבל אני לא עוסק מורשה, האם אני צריך לשלם על זה מע""מ?","מכירה בידי משקיע שאינו עוסק — פטורה ממע""מ.",capital-markets-tax-guide,7. מיסוי מטבעות קריפטוגרפיים (וירטואליים) — עמדת רשות המסים,True,easy,synthetic
מאיזה תאריך חל מס היסף החדש בשיעור 2%?,התיקון (מס היסף החדש בשיעור 2%) חל על הכנסה שהופקה או התקבלה מיום 1.1.2025 ואילך.,capital-markets-tax-guide,שני מסי יסף מקבילים (החל משנת המס 2025):,True,easy,synthetic
איך ממוסה מכירת ביטקוין על ידי אדם פרטי שאינו עוסק בכך?,"מכירת אמצעי תשלום מבוזר בידי משקיע פרטי (שאינו עוסק) תמוסה כמכירת ""נכס"" — הכנסה הונית החייבת במס רווח הון לפי שיעורי סעיף 91 לפקודה (כלומר, בפועל 25%/30%).",capital-markets-tax-guide,7. מיסוי מטבעות קריפטוגרפיים (וירטואליים) — עמדת רשות המסים,True,easy,synthetic
מהי תקרת השבח המעודכנת לשנת 2026 לצורך חיוב במס יסף על מכירת דירת מגורים?,"תקרת השבח לצורך מס יסף על מכירת זכות במקרקעין בדירת מגורים לשנת 2026 היא 5,385,285 ₪.",employees-tax-guide,7. מס יסף (מס נוסף על הכנסות גבוהות),True,easy,synthetic
מהי תקרת ההכנסה החייבת בדמי ביטוח לאומי ובריאות לשכיר לשנת 2026?,"תקרת ההכנסה המרבית החייבת בדמי ביטוח לאומי ובריאות לשכיר לשנת 2026 היא 51,910 ₪ לחודש.",employees-tax-guide,שיעורים המנוכים משכר העובד (ביטוח לאומי + ביטוח בריאות יחד),True,easy,synthetic
מתי חובה למלא את טופס 101?,"יש למלא את טופס 101 עם תחילת העבודה אצל מעסיק חדש, בתחילת כל שנת מס, ובכל מקרה של שינוי בפרטים האישיים.",employees-tax-guide,שיעורים המנוכים משכר העובד (ביטוח לאומי + ביטוח בריאות יחד),True,easy,synthetic
"מהי ההכנסה החייבת השנתית בשנת 2026 שממנה חל מס יסף, ומהו שיעור המס?","הכנסה החייבת בשנת המס 2026 העולה על 721,560 ₪ לשנה (60,130 ₪ לחודש), בשיעור של 3% על החלק העולה על סכום זה.",employees-tax-guide,תנאי סף עיקריים (לפי אלון הסבר רשמי של רשות המסים),True,easy,synthetic
מהי המשכורת הקובעת להפרשות לקרן השתלמות לשנת 2026?,"188,544 ₪ לשנה (כ־15,712 ₪ לחודש)",employees-tax-guide,"3. ניכויים ופטורים לשכיר — קרן השתלמות, פנסיה/קופת גמל",True,easy,synthetic
