id,baseline_answer,baseline_latency_ms,baseline_input_tokens,baseline_output_tokens,baseline_classification,baseline_classification_explanation
1,"כן, מדרגות מס ההכנסה בישראל זהות לחלוטין עבור עצמאים ושכירים כאחד. לעומת זאת, שיעורי דמי הביטוח הלאומי שונים: שכירים מבוטחים במסלול שבו המעסיק נושא בחלק מהתשלום, בעוד שעצמאים משלמים את מלוא דמי הביטוח הלאומי והביטוח הלאומי בריאות בעצמם, לפי מדרגות הכנסה שונות המותאמות למעמדם.",1911.6,178,125,hallucinated,"תשובת המערכת אכן מציינת שמדרגות המס זהות, אך היא נמנעת מפירוט השיעורים שהתבקשו בשאלה לגבי דמי הביטוח הלאומי, ובכך היא חסרה פרטים מהותיים."
2,אינני יודע.,624.7,165,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
3,אינני יודע.,573.3,161,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
4,אינני יודע.,585.8,162,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
5,אינני יודע.,569.8,184,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
6,אינני יודע.,542.6,176,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
7,"הבדל המרכזי הוא דחיית מס: בקרן נאמנות פטורה, המנהל קונה ומוכר ניירות ערך בתוך הקרן ללא אירוע מס, כך שכל הרווחים מושקעים מחדש ואינם ממוסים עד לפדיון היחידות על ידי המשקיע. לעומת זאת, בהשקעה ישירה, כל מכירה של נייר ערך ברווח מהווה אירוע מס המחייב בתשלום מס רווחי הון באותה שנת מס, גם אם הכסף נשאר בחשבון ומוקע מחדש.",1180.8,167,146,correct,"תשובת המערכת מדויקת, מפרטת ומסבירה את ההבדל העובדתי בצורה נכונה ומשלימה את תשובת הייחוס."
8,שיעור המס על רווח הון ריאלי ממכירת ניירות ערך נסחרים במקרה הרגיל הוא 25%.,656.9,160,34,correct,תשובת המערכת מדויקת ותואמת לחלוטין לתשובת הייחוס.
9,אינני יודע.,486.8,165,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
10,אינני יודע.,726.8,155,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
11,"ביטקוין ומטבעות דיגיטליים אחרים מוגדרים בישראל כ""נכס הוני"" לצורכי מס, ולכן מכירתם כפופה לתשלום מס רווחי הון. 

שיעור המס על הרווח הריאלי (ההפרש בין מחיר המכירה למחיר הקנייה, בניכוי הוצאות ישירות) לאדם פרטי עומד בדרך כלל על 25%. 

בנוסף, ייתכן שיוטל מס נוסף (מס יסף) בשיעור של 3% על הכנסות גבוהות העופות את הסף הקבוע בחוק באותה שנת מס. 

חובת הדיווח על העסקה ותשלום המס חלים באופן עצמאי על הרוכש בעת מימוש הנכס (המרתו לכסף פיאט או לנכס אחר).",2242.2,161,208,correct,"התשובה מדויקת ומשלימה את תשובת הייחוס עם פירוט על מס היסף, תוך שמירה על המהות העובדתית הנדרשת."
12,אינני יודע.,549.3,168,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
13,אינני יודע.,617.9,166,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
14,"טופס 101 (כרטיס עובד) חובה למלא בתחילת כל שנת מס, כלומר בחודש ינואר, או עם תחילת העבודה אצל מעסיק חדש. בנוסף, חובה לעדכן את המעסיק במהלך השנה על כל שינוי מהותי בנסיבות האישיות המשפיעות על זכאות לנקודות זיכוי (כגון שינוי במצב משפחתי, לידת ילד, או מעבר מגורים).",1020.2,149,121,correct,תשובת המערכת מקיפה את כל המצבים שצוינו בתשובת הייחוס ואף מוסיפה פירוט רלוונטי על העדכון בשינוי נסיבות אישיות.
15,אינני יודע.,491.6,168,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
16,אינני יודע.,615.2,161,6,refused,"סירב לענות (זוהה בקוד, ללא שופט)"
17,"המקדמות החודשיות למס הכנסה משולמות בדרך כלל אחת לחודש, ויש לדווח ולשלם אותן עד ה-20 לחודש העוקב אחר תקופת הדיווח. לדוגמה, את המקדמות בגין פעילות בחודש ינואר יש לשלם עד ה-20 בפברואר. אם ה-20 לחודש חל ביום שבת או בחג, מועד התשלום נדחה בדרך כלל ליום העסקים העוקב.",1002.5,156,125,hallucinated,קיימת סתירה עובדתית בין תשובת המערכת (ה-20 לחודש) לבין תשובת הייחוס (ה-15 לחודש). המועד הרשמי לתשלום מקדמות מס הכנסה הוא ה-15 לכל חודש.
18,"ניתן להפיק את טופס 106 ישירות מהמעסיק ששילם את המשכורת עבור שנת המס המבוקשת. בנוסף, עובדים שכירים יכולים לאתר ולצפות בנתוני טופס 106 וטפסים נוספים עבור חלק מהשנים באזור האישי באתר רשות המיסים (המערכת המקוונת לשכירים).",854.0,171,94,correct,"תשובת המערכת מקיפה יותר מתשובת הייחוס וכוללת את המידע הנכון לגבי הפקה דרך רשות המסים, תוך ציון המקור הנוסף (המעסיק)."
19,"עוסק שמחזור העסקאות השנתי שלו עולה על 1.5 מיליון שקלים מחויב בדיווח ובתשלום מע""מ אחת לחודש (דיווח חודשי). הדיווח והתשלום יש למוסרם למשרדי מע""מ עד ה-15 לחודש העוקב אחר תקופת הדיווח.",778.7,169,88,correct,תשובת המערכת מדויקת ותואמת לחלוטין את תשובת הייחוס מבחינה עובדתית.
